model,hyperparam,tau,F2_w,AUC_PR_w
svm,0.15,0.9225,0.7071073369562547,0.7271242075807844
svm,0.15,0.925,0.7071073369562547,0.7271242075807844
svm,0.15,0.9275,0.7074990560153457,0.7271242075807844
svm,0.15,0.93,0.6980172701675007,0.7271242075807844
svm,0.15,0.9325,0.6993855863506319,0.7271242075807844
svm,0.15,0.935,0.6959080780806932,0.7271242075807844
svm,0.15,0.9375,0.6932970168167626,0.7271242075807844
svm,0.15,0.94,0.6947136167922118,0.7271242075807844
svm,0.15,0.9425,0.698639767509261,0.7271242075807844
svm,0.15,0.945,0.683709155818452,0.7271242075807844
svm,0.15,0.9475,0.6700753752242706,0.7271242075807844
svm,0.15,0.95,0.666308072568079,0.7271242075807844
svm,0.15,0.9525,0.666308072568079,0.7271242075807844
svm,0.15,0.955,0.6677349387689786,0.7271242075807844
svm,0.15,0.9575,0.670379250150809,0.7271242075807844
svm,0.15,0.96,0.6650115140354568,0.7271242075807844
svm,0.15,0.9625,0.6692518258940685,0.7271242075807844
svm,0.15,0.965,0.6636838379854616,0.7271242075807844
svm,0.15,0.9675,0.6636838379854616,0.7271242075807844
svm,0.15,0.97,0.6600061508869194,0.7271242075807844
svm,0.15,0.9725,0.6589121903745782,0.7271242075807844
svm,0.15,0.975,0.6550793908073917,0.7271242075807844
svm,0.15,0.9775,0.6529326344639927,0.7271242075807844
svm,0.15,0.98,0.6452470833001807,0.7271242075807844
svm,0.15,0.9825,0.6452470833001807,0.7271242075807844
svm,0.15,0.985,0.6462516161674586,0.7271242075807844
svm,0.15,0.9875,0.6462516161674586,0.7271242075807844
svm,0.15,0.99,0.6423458044540665,0.7271242075807844
svm,0.15,0.9925,0.6475584244815015,0.7271242075807844
svm,0.15,0.995,0.6367824587336782,0.7271242075807844
svm,0.15,0.9975,0.6211979911258302,0.7271242075807844
svm,0.15,1.0,0.6211979911258302,0.7271242075807844
svm,0.22,0.8,0.7057762986037392,0.7283018163872901
svm,0.22,0.8025,0.7064215431514228,0.7283018163872901
svm,0.22,0.805,0.7066544804912783,0.7283018163872901
svm,0.22,0.8075,0.7075297506218172,0.7283018163872901
svm,0.22,0.81,0.7080091944669569,0.7283018163872901
svm,0.22,0.8125,0.7082559670343082,0.7283018163872901
svm,0.22,0.815,0.7096457245216266,0.7283018163872901
svm,0.22,0.8175,0.70989738367447,0.7283018163872901
svm,0.22,0.82,0.7101540760103702,0.7283018163872901
svm,0.22,0.8225,0.7115185984275243,0.7283018163872901
svm,0.22,0.825,0.7070525939615199,0.7283018163872901
svm,0.22,0.8275,0.7070525939615199,0.7283018163872901
svm,0.22,0.83,0.7080084799255395,0.7283018163872901
svm,0.22,0.8325,0.7092597075821918,0.7283018163872901
svm,0.22,0.835,0.7092597075821918,0.7283018163872901
svm,0.22,0.8375,0.7014173438057799,0.7283018163872901
svm,0.22,0.84,0.7033543634783795,0.7283018163872901
svm,0.22,0.8425,0.7038911321310902,0.7283018163872901
svm,0.22,0.845,0.7057389366071993,0.7283018163872901
svm,0.22,0.8475,0.707250824536509,0.7283018163872901
svm,0.22,0.85,0.7079228675472617,0.7283018163872901
svm,0.22,0.8525,0.7044725893136896,0.7283018163872901
svm,0.22,0.855,0.7044725893136896,0.7283018163872901
svm,0.22,0.8575,0.704756325552482,0.7283018163872901
svm,0.22,0.86,0.7056476553877662,0.7283018163872901
svm,0.22,0.8625,0.7093910084642927,0.7283018163872901
svm,0.22,0.865,0.7103765246682288,0.7283018163872901
svm,0.22,0.8675,0.7106877602735819,0.7283018163872901
svm,0.22,0.87,0.7080977278448398,0.7283018163872901
svm,0.22,0.8725,0.7092930254986134,0.7283018163872901
svm,0.22,0.875,0.7102008611303755,0.7283018163872901
svm,0.22,0.8775,0.7124883595323847,0.7283018163872901
svm,0.22,0.88,0.7131131408589203,0.7283018163872901
svm,0.22,0.8825,0.7082929390406678,0.7283018163872901
svm,0.22,0.885,0.7038958478855858,0.7283018163872901
